;sem_1;sem_2;int_jan;int_feb;int_jun;int_jul;int_no;int_dec
461;ECOS2001;ECOS2025;;;;;;
462;ECOS2002;ECOS2201;;;;;;
463;ECOS2004;ECOS2902;;;;;;
464;ECOS2040;ECOS3002;;;;;;
465;ECOS2901;ECOS3003;;;;;;
466;ECOS3003;ECOS3004;;;;;;
467;ECOS3005;ECOS3005;;;;;;
468;ECOS3006;ECOS3006;;;;;;
469;ECOS3010;ECOS3007;;;;;;
470;ECOS3012;ECOS3008;;;;;;
471;ECOS3020;ECOS3010;;;;;;
472;ECOS3021;ECOS3011;;;;;;
473;ECOS3022;ECOS3012;;;;;;
474;ECOS3024;ECOS3013;;;;;;
475;ECOS3025;ECOS3015;;;;;;
476;ECOS3028;ECOS3016;;;;;;
477;ECOS3901;ECOS3017;;;;;;
478;ECOS3903;ECOS3018;;;;;;
479;ECOS4201;ECOS3020;;;;;;
480;ECOS4202;ECOS3022;;;;;;
481;ECOS4206;ECOS3023;;;;;;
482;ECOS4207;ECOS3027;;;;;;
483;EDGU1007;ECOS3029;;;;;;
484;EDGU2000;ECOS3030;;;;;;
485;EDPC5012;ECOS3031;;;;;;
486;EDPC5021;ECOS3902;;;;;;
487;EDPJ5022;ECOS3904;;;;;;
488;EDPK5001;ECOS4206;;;;;;
489;EDPK5003;ECOS4207;;;;;;
490;EDPZ5003;ECOS4211;;;;;;
491;EDUF1018;ECOS4212;;;;;;
492;EDUF1020;EDGU2000;;;;;;
493;EDUF2006;EDPC5025;;;;;;
494;EDUF3027;EDPJ5022;;;;;;
495;EDUF3028;EDPK5002;;;;;;
496;EDUF3032;EDPK5003;;;;;;
497;EDUF3038;EDUF1019;;;;;;
498;EDUF3136;EDUF1021;;;;;;
499;ELEC1004;EDUF2007;;;;;;
500;ELEC1005;EDUF3023;;;;;;
501;ELEC1103;EDUF3026;;;;;;
502;ELEC2602;EDUF3030;;;;;;
503;ELEC4712;EDUF3037;;;;;;
504;ELEC4713;EDUF3038;;;;;;
505;ELEC5204;ELEC1601;;;;;;
506;ELEC5208;ELEC2103;;;;;;
507;ELEC5211;ELEC2104;;;;;;
508;ELEC5213;ELEC2302;;;;;;
509;ELEC5304;ELEC4712;;;;;;
510;ELEC5306;ELEC4713;;;;;;
511;ELEC5507;ELEC5207;;;;;;
512;ELEC5509;ELEC5212;;;;;;
513;ELEC5511;ELEC5305;;;;;;
514;ELEC5516;ELEC5307;;;;;;
515;ELEC5518;ELEC5508;;;;;;
516;ELEC5616;ELEC5510;;;;;;
517;ELEC5618;ELEC5512;;;;;;
518;ELEC9505;ELEC5514;;;;;;
519;ELEC9515;ELEC5517;;;;;;
520;ELEC9607;ELEC5619;;;;;;
521;EMUS2500;ELEC5620;;;;;;
522;ENGG1000;ELEC9405;;;;;;
523;ENGG1111;ELEC9506;;;;;;
524;ENGG1800;ELEC9608;;;;;;
525;ENGG1810;EMUS5600;;;;;;
526;ENGG1850;ENGG1810;;;;;;
527;ENGG1860;ENGG1865;;;;;;
528;ENGG1863;ENGG5205;;;;;;
529;ENGG2850;ENGG5214;;;;;;
530;ENGG2851;ENGG5215;;;;;;
531;ENGG2855;ENGL1013;;;;;;
532;ENGG3216;ENGL1014;;;;;;
533;ENGG5202;ENGL1018;;;;;;
534;ENGG5204;ENGL2605;;;;;;
535;ENGG5205;ENGL2654;;;;;;
536;ENGL1007;ENGL2674;;;;;;
537;ENGL1016;ENGL2675;;;;;;
538;ENGL1017;ENGL3607;;;;;;
539;ENGL1019;ENGL3623;;;;;;
540;ENGL2617;ENGL3633;;;;;;
541;ENGL2627;ENGL3696;;;;;;
542;ENGL2661;ENGL3705;;;;;;
543;ENGL2666;ENGL3706;;;;;;
544;ENGL2669;ENGL3707;;;;;;
545;ENGL2672;ENGL3712;;;;;;
546;ENGL3608;ENGL3713;;;;;;
547;ENGL3642;ENGL3998;;;;;;
548;ENGL3655;ENGL6100;;;;;;
549;ENGL3657;ENGL6103;;;;;;
550;ENGL3695;ENGL6993;;;;;;
551;ENGL3709;ENSE1041;;;;;;
552;ENGL3710;ENSE1042;;;;;;
553;ENGL3711;ENSE1601;;;;;;
554;ENGL3998;ENSE1602;;;;;;
555;ENGL5000;ENSE2043;;;;;;
556;ENGL6101;ENSE2044;;;;;;
557;ENGL6102;ENSE2603;;;;;;
558;ENGL6914;ENSE2604;;;;;;
559;ENGL6993;ENVI1003;;;;;;
560;ENSC2001;ENVI2122;;;;;;
561;ENSE1041;ENVI2922;;;;;;
562;ENSE1042;ENVI3114;;;;;;
563;ENSE1601;ENVI3888;;;;;;
564;ENSE1602;ENVI4101;;;;;;
565;ENSE2043;ENVI4103;;;;;;
566;ENSE2044;ENVI4104;;;;;;
567;ENSE2603;ENVI4105;;;;;;
